Adm1001|Mason|Jackson|mason.jackson@ums.edu|7132735041|740 3rd St.|San Diego|CA|71646|admin1001|249815512900893685|Admin
Adm1002|Alexander|Jones|alexander.jones@ums.edu|7133235624|329 Oak St.|Rochester|NY|43710|admin1002|7571197449996070|Admin
Adm1003|Penelope|Allen|penelope.allen@ums.edu|7137030509|510 Oak St.|Philadelphia|PA|44388|admin1003|8245521609236074242|Admin
Adm1004|Henry|Robinson|henry.robinson@ums.edu|7131235883|847 Oak St.|Boulder|CO|60197|admin1004|8244045428866536874|Admin
Adm1005|Mason|Harris|mason.harris@ums.edu|7135429223|759 Cypress Way|Phoenix|AZ|32634|admin1005|8246335577605906364|Admin
Fac1001|Chloe|Jackson|chloe.jackson@ums.edu|7137701194|674 Cypress Way|Charlotte|NC|99974|fac1001|7570127445289600|Faculty
Fac1002|Mia|Wilson|mia.wilson@ums.edu|7131800375|453 Oak St.|Rochester|NY|48390|fac1002|249815649537513194|Faculty
Fac1003|Luke|Harris|luke.harris@ums.edu|7135214601|725 Park Ave.|Portland|OR|29073|fac1003|249912058522281225|Faculty
Fac1004|Luke|Clark|luke.clark@ums.edu|7131833770|825 Park Ave.|Jacksonville|FL|71108|fac1004|7570347019315168|Faculty
Fac1005|Sebastian|Clark|sebastian.clark@ums.edu|7133328241|585 Hillcrest Ave.|Rochester|NY|11175|fac1005|249856529229801073|Faculty
Fac1006|Mason|Hernandez|mason.hernandez@ums.edu|7135461811|993 Main St.|Buffalo|NY|73463|fac1006|249898757883717709|Faculty
Fac1007|Penelope|Garcia|penelope.garcia@ums.edu|7139205068|148 Elm St.|Phoenix|AZ|23298|fac1007|249842526542350698|Faculty
Fac1008|Olivia|Sanchez|olivia.sanchez@ums.edu|7136623660|118 Highland Rd.|Tacoma|WA|19787|fac1008|249842125021544766|Faculty
Fac1009|Avery|Anderson|avery.anderson@ums.edu|7137435664|890 2nd St.|San Diego|CA|27412|fac1009|8243984228412536856|Faculty
Fac1010|Ella|Johnson|ella.johnson@ums.edu|7132387980|264 3rd St.|Philadelphia|PA|14059|fac1010|8246549706016369526|Faculty
Fac1011|Evelyn|King|evelyn.king@ums.edu|7136133503|433 Cedar Ln.|Phoenix|AZ|43459|fac1011|249840119150287569|Faculty
Fac1012|Zoe|Lewis|zoe.lewis@ums.edu|7131448628|817 Highland Rd.|Chicago|IL|68947|fac1012|8246823838694970053|Faculty
Fac1013|Avery|Anderson|avery.anderson@ums.edu|7139318549|204 Main St.|Dallas|TX|86956|fac1013|249899955263840562|Faculty
Fac1014|Mason|Garcia|mason.garcia@ums.edu|7138870914|436 Pine Ave.|San Francisco|CA|51302|fac1014|8246634221278272615|Faculty
Fac1015|Victoria|Taylor|victoria.taylor@ums.edu|7135934593|932 Pine Ave.|Dallas|TX|19490|fac1015|249850892675538337|Faculty
Fac1016|Scarlett|Anderson|scarlett.anderson@ums.edu|7135477204|110 Cypress Way|Phoenix|AZ|12561|fac1016|249819915585998557|Faculty
